"Candidate","Party","Votes","State","Const"
"MEDHA PATKAR","Aam Aadmi Party",3503,"Maharashtra","Maharashtra - Mumbai North East"
"MATCHINDRA  HANUMANTRAO CHATE","Bahujan Samaj Party",3494,"Maharashtra","Maharashtra - Mumbai North East"
"PROF. AVINASH DOLAS","Bharipa Bahujan Mahasangh",3505,"Maharashtra","Maharashtra - Mumbai North East"
"BANSODE DILIP BAPU","Independent",3498,"Maharashtra","Maharashtra - Mumbai North East"
"SANJAY SAOJI DESHPANDE","Independent",796,"Maharashtra","Maharashtra - Mumbai North East"
"FIROZ AHMED SIDDIQUI","Independent",3497,"Maharashtra","Maharashtra - Mumbai North East"
"TUKARAM BABURAO MANE","Bahujan Mukti Party",3495,"Maharashtra","Maharashtra - Mumbai North East"
"DEEPAK DIGAMBAR SHINDE","Independent",1629,"Maharashtra","Maharashtra - Mumbai North East"
"PRAKASH SADASHIV PANCHARAS","Maharashtra Parivartan Sena (T)",95,"Maharashtra","Maharashtra - Mumbai North East"
"PRASHANT DNYANESHWAR GANGAWANE","Prabuddha Republican Party",2517,"Maharashtra","Maharashtra - Mumbai North East"
"SAYED GULAMHUSAIN  AMIRHAMZA","Republican Party of India",3493,"Maharashtra","Maharashtra - Mumbai North East"
"KHAN SHAMIM BANU","Independent",2722,"Maharashtra","Maharashtra - Mumbai North East"
"TUPSOUNDARYA SUNITA MOHAN","Independent",3504,"Maharashtra","Maharashtra - Mumbai North East"
"SABIR MEHANDI HASAN","Independent",166,"Maharashtra","Maharashtra - Mumbai North East"
"HAYAT ABDULLAH SHAIKH","Indian Union Muslim League",3501,"Maharashtra","Maharashtra - Mumbai North East"
"ADV. AMARSEN BABURAO BABAR","Independent",1885,"Maharashtra","Maharashtra - Mumbai North East"
"ANANDA   SAKHARAM  BHALERAO","Independent",3499,"Maharashtra","Maharashtra - Mumbai North East"
"None of the Above","None of the Above",3502,"Maharashtra","Maharashtra - Mumbai North East"
"POONAM MAHAJAN ALIAS POONAM VAJENDLA RAO","Bharatiya Janata Party",3513,"Maharashtra","Maharashtra - Mumbai North central"
"DUTT PRIYA SUNIL","Indian National Congress",3509,"Maharashtra","Maharashtra - Mumbai North central"
"PHIROZE PALKHIVALA","Aam Aadmi Party",3512,"Maharashtra","Maharashtra - Mumbai North central"
"SHINDE ANAND VYANKATRAO","Bahujan Samaj Party",3506,"Maharashtra","Maharashtra - Mumbai North central"
"ABU FARHAN AZMI","Samajwadi Party",3520,"Maharashtra","Maharashtra - Mumbai North central"
"AZIMUDDIN KHAN","The Lok Party of India",3508,"Maharashtra","Maharashtra - Mumbai North central"
"SHITAL KUMAR JAIN","Independent",3234,"Maharashtra","Maharashtra - Mumbai North central"
"DINESH PHULSING RATHOD","Independent",2098,"Maharashtra","Maharashtra - Mumbai North central"
"MINAKSHI MUKUND JADHAV","Independent",3507,"Maharashtra","Maharashtra - Mumbai North central"
"SURESH GIGA DABHI","Independent",3519,"Maharashtra","Maharashtra - Mumbai North central"
"GUPTA KANHAIYALAL RAJARAM","Independent",3518,"Maharashtra","Maharashtra - Mumbai North central"
"CHAWAN SURYAKANT GANGARAM","Independent",3517,"Maharashtra","Maharashtra - Mumbai North central"
"BIRJE HEMANT ANANT","All India Forward Bloc",2510,"Maharashtra","Maharashtra - Mumbai North central"
"UMESH SONBA AVHAD","Maharashtra Parivartan Sena (T)",515,"Maharashtra","Maharashtra - Mumbai North central"
"FRANCIS LAWRENCE FERNANDES","Independent",1511,"Maharashtra","Maharashtra - Mumbai North central"
"SANJU VERMA","Independent",166,"Maharashtra","Maharashtra - Mumbai North central"
"MEHER A. MALLICK","Bahujan Mukti Party",3515,"Maharashtra","Maharashtra - Mumbai North central"
"ASHOK KISAN LOKHANDE","Republican Party of India",2439,"Maharashtra","Maharashtra - Mumbai North central"
"NIYAZ AHMED ALLAUDDIN SHAIKH","Awami Vikas Party",3514,"Maharashtra","Maharashtra - Mumbai North central"
"UPESH M. BARIA","Independent",3511,"Maharashtra","Maharashtra - Mumbai North central"
"MOHAMMED RAFIK HUSSAIN SHAIKH","National Loktantrik Party",3510,"Maharashtra","Maharashtra - Mumbai North central"
"None of the Above","None of the Above",3516,"Maharashtra","Maharashtra - Mumbai North central"
"RAHUL RAMESH SHEWALE","Shivsena",3528,"Maharashtra","Maharashtra - Mumbai South central"
"EKNATH M. GAIKWAD","Indian National Congress",3526,"Maharashtra","Maharashtra - Mumbai South central"
"ADITYA RAJAN SHIRODKAR","Maharashtra Navnirman sena",3531,"Maharashtra","Maharashtra - Mumbai South central"
"SUNDAR BALAKRISHNAN","Aam Aadmi Party",3527,"Maharashtra","Maharashtra - Mumbai South central"
"ADV.AIYYAR GANESH","Bahujan Samaj Party",3524,"Maharashtra","Maharashtra - Mumbai South central"
"ABBAS HUSSAIN SHAIKH","Samajwadi Party",2776,"Maharashtra","Maharashtra - Mumbai South central"
"NOOR MOHAMMAD SAHEB RAJA KHAN","Independent",3525,"Maharashtra","Maharashtra - Mumbai South central"
"HUSSAIN AKBAR SAYYED","Bahujan Mukti Party",3523,"Maharashtra","Maharashtra - Mumbai South central"
"DILIP GAIKWAD","Independent",261,"Maharashtra","Maharashtra - Mumbai South central"
"MOIN SOHAIL SAYYED","Independent",415,"Maharashtra","Maharashtra - Mumbai South central"
"NAMDEV SAHEBRAO SABLE","Independent",3522,"Maharashtra","Maharashtra - Mumbai South central"
"ADV.VAISHALI SURENDRA BORDE","Independent",1708,"Maharashtra","Maharashtra - Mumbai South central"
"ASLAM HANIF KHOT","Peace Party",3521,"Maharashtra","Maharashtra - Mumbai South central"
"SANGHAPAL HIRACHAND GADEKAR","Ambedkarite Party of India",2402,"Maharashtra","Maharashtra - Mumbai South central"
"MAHENDRA TULSHIRAM BHINGARDIVE","Independent",2402,"Maharashtra","Maharashtra - Mumbai South central"
"CLIFFORD MARTIS","Independent",3532,"Maharashtra","Maharashtra - Mumbai South central"
"MR. NADAR SELVAKUMAR PERIMBRAJ","Independent",594,"Maharashtra","Maharashtra - Mumbai South central"
"KHAN SIRAJ AHMED","Independent",3530,"Maharashtra","Maharashtra - Mumbai South central"
"GANESH BHIMRAO BUDHE","Independent",3488,"Maharashtra","Maharashtra - Mumbai South central"
"PAL JITENDRA KUMAR","Independent",3529,"Maharashtra","Maharashtra - Mumbai South central"
"SHINDE SARJERAO MAHADEV","Independent",1899,"Maharashtra","Maharashtra - Mumbai South central"
"None of the Above","None of the Above",1102,"Maharashtra","Maharashtra - Mumbai South central"
"ARVIND SAWANT","Shivsena",3535,"Maharashtra","Maharashtra - Mumbai   South"
"DEORA MILIND MURLI","Indian National Congress",3534,"Maharashtra","Maharashtra - Mumbai   South"
"BALA NANDGAONKAR","Maharashtra Navnirman sena",3544,"Maharashtra","Maharashtra - Mumbai   South"
"MEERA SANYAL","Aam Aadmi Party",3536,"Maharashtra","Maharashtra - Mumbai   South"
"PRAKASH REDDY","Communist Party of India",3542,"Maharashtra","Maharashtra - Mumbai   South"
"ABDUS SALAM KHAN  QASMI","Bahujan Samaj Party",3540,"Maharashtra","Maharashtra - Mumbai   South"
"RATAN DEVRAM BODKE","Independent",95,"Maharashtra","Maharashtra - Mumbai   South"
"SACHIN PAWAR","Bahujan Mukti Party",3533,"Maharashtra","Maharashtra - Mumbai   South"
"FARNANDES SANTAN","Independent",3484,"Maharashtra","Maharashtra - Mumbai   South"
"RAJENDRA DAULAT DESAI","Independent",257,"Maharashtra","Maharashtra - Mumbai   South"
"SHAHZAD SHAMSHER KHAN PATHAN","Awami Vikas Party",2110,"Maharashtra","Maharashtra - Mumbai   South"
"BASIT FAITH","Independent",395,"Maharashtra","Maharashtra - Mumbai   South"
"JAHEDA MOHAMMED HANIF SHAIKH","Independent",3543,"Maharashtra","Maharashtra - Mumbai   South"
"BAIG MIRZA KALIM","The Lok Party of India",3227,"Maharashtra","Maharashtra - Mumbai   South"
"DR. OMRAJ L. RATHOD","Independent",3541,"Maharashtra","Maharashtra - Mumbai   South"
"KATARIA JITENDRA KAMABHAI","Independent",3539,"Maharashtra","Maharashtra - Mumbai   South"
"GAURAV SHARMA","Independent",3538,"Maharashtra","Maharashtra - Mumbai   South"
"SHANKAR  SONAWANE","Independent",3537,"Maharashtra","Maharashtra - Mumbai   South"
"SHEHBAJ RATHOD","Jai Maha Bharath Party",2634,"Maharashtra","Maharashtra - Mumbai   South"
"ABDUL LATIF ABDUL KADAR SHAIKH","Independent",3034,"Maharashtra","Maharashtra - Mumbai   South"
"None of the Above","None of the Above",3545,"Maharashtra","Maharashtra - Mumbai   South"
"ANANT GEETE","Shivsena",3551,"Maharashtra","Maharashtra - Raigad"
"TATKARE SUNIL DATTATREY","Nationalist Congress Party",3550,"Maharashtra","Maharashtra - Raigad"
"RAMESHBHAI KADAM","Peasants And Workers Party of India",3547,"Maharashtra","Maharashtra - Raigad"
"YASHWANT JAYRAM GAIKWAD","Bahujan Samaj Party",3546,"Maharashtra","Maharashtra - Raigad"
"MUZZAFAR JAINUDDIN CHAUDHARI  ALIAS MODI","Independent",3554,"Maharashtra","Maharashtra - Raigad"
"SUNIL TATKARE","Independent",3553,"Maharashtra","Maharashtra - Raigad"
"DR. APARANTI SANJAY YASHWANT","Aam Aadmi Party",3552,"Maharashtra","Maharashtra - Raigad"
"SANDEEP PANDURANG PARTE","Hindustan Janta Party",3253,"Maharashtra","Maharashtra - Raigad"
"DR. GHONE ADESH YASHAWANT","Bahujan Mukti Party",3549,"Maharashtra","Maharashtra - Raigad"
"AZIZ ABDUL KADIR MUKADAM","Samajwadi Party",870,"Maharashtra","Maharashtra - Raigad"
"None of the Above","None of the Above",3548,"Maharashtra","Maharashtra - Raigad"
"APPA ALIAS SHRIRANG CHANDU BARNE","Shivsena",3565,"Maharashtra","Maharashtra - Maval"
"JAGTAP LAXMANBHAU PANDURANG","Peasants And Workers Party of India",3562,"Maharashtra","Maharashtra - Maval"
"NARWEKAR RAHUL SURESH","Nationalist Congress Party",3557,"Maharashtra","Maharashtra - Maval"
"BHAPKAR MARUTI SAHEBRAO","Aam Aadmi Party",3561,"Maharashtra","Maharashtra - Maval"
"BHIMAPUTRA TEXAS GAIKWAD","Bahujan Samaj Party",3560,"Maharashtra","Maharashtra - Maval"
"BARNE SHRIRANG CHIMAJI","Janata Dal  (United)",3556,"Maharashtra","Maharashtra - Maval"
"GHARAT SANTOSH ROHIDAS","Bahujan Mukti Party",3567,"Maharashtra","Maharashtra - Maval"
"JAGTAP LAXMAN SITARAM","Independent",3566,"Maharashtra","Maharashtra - Maval"
"SIR MANUEL SABINO D'SOUZA","Independent",3564,"Maharashtra","Maharashtra - Maval"
"NANAWARE PRAMOD MAHADEO","Independent",3563,"Maharashtra","Maharashtra - Maval"
"SUBHASH GOPALRAO BODHE","Independent",2807,"Maharashtra","Maharashtra - Maval"
"BHIMRAO ANNA KADALE","Independent",2576,"Maharashtra","Maharashtra - Maval"
"ADV.VAISHALI SURENDRA BORDE","Independent",1145,"Maharashtra","Maharashtra - Maval"
"H.B.P.ADV.R.K.PATIL","Independent",3559,"Maharashtra","Maharashtra - Maval"
"NURJAHAN YASIN SHAIKH","Independent",3393,"Maharashtra","Maharashtra - Maval"
"RAJENDRA MARUTI KATE","Independent",3558,"Maharashtra","Maharashtra - Maval"
"SIMA DHARMANNA MANIKADI","Prabuddha Republican Party",171,"Maharashtra","Maharashtra - Maval"
"JAGTAP LAXMAN MURLIDHAR","Independent",3087,"Maharashtra","Maharashtra - Maval"
"ABHIJIT ANIL APTE","Independent",1975,"Maharashtra","Maharashtra - Maval"
"None of the Above","None of the Above",3555,"Maharashtra","Maharashtra - Maval"
"ANIL SHIROLE","Bharatiya Janata Party",3584,"Maharashtra","Maharashtra - Pune"
"DR.VISHWAJEET PATANGRAO KADAM","Indian National Congress",3574,"Maharashtra","Maharashtra - Pune"
"DEEPAK NATHARAM PAIGUDE","Maharashtra Navnirman sena",3591,"Maharashtra","Maharashtra - Pune"
"WARE SUBHASH SHANKARRAO","Aam Aadmi Party",3575,"Maharashtra","Maharashtra - Pune"
"IMTIYAZ PEERZADE","Bahujan Samaj Party",3571,"Maharashtra","Maharashtra - Pune"
"ARUN BHATIA","Peoples Guardian",3588,"Maharashtra","Maharashtra - Pune"
"DAMBALE RAHUL DHARMA","Independent",2127,"Maharashtra","Maharashtra - Pune"
"COLONEL JAYANTRAO CHITALE","Independent",3573,"Maharashtra","Maharashtra - Pune"
"NANA KSHIRSAGAR","Bharipa Bahujan Mahasangh",3572,"Maharashtra","Maharashtra - Pune"
"COL SURESH PATIL (RTD)","Bahujan Mukti Party",3570,"Maharashtra","Maharashtra - Pune"
"DEVKULE BIBHISHAN JAGANNATH","Independent",3569,"Maharashtra","Maharashtra - Pune"
"SAIYYAD AFSER  IBRAHIM","Samajwadi Party",2391,"Maharashtra","Maharashtra - Pune"
"MANCHAK TRIMBAKRAO KARALE","Independent",3568,"Maharashtra","Maharashtra - Pune"
"SHIVAJI  PANDURANG ADHAV","Independent",3590,"Maharashtra","Maharashtra - Pune"
"NILESH DHANAVE","Independent",3589,"Maharashtra","Maharashtra - Pune"
"DINESH PANDURANG PAWAR","Independent",3587,"Maharashtra","Maharashtra - Pune"
"SUSHAMA PANDURANG GAIKWAD","Independent",391,"Maharashtra","Maharashtra - Pune"
"ASHAPAK SHAIKH","Independent",3585,"Maharashtra","Maharashtra - Pune"
"SANTOSH PAWAR","Independent",3583,"Maharashtra","Maharashtra - Pune"
"BANSODE CHAYYA TUKARAM","Independent",3514,"Maharashtra","Maharashtra - Pune"
"UMESH BHUJANG MASANKHAMB","Independent",3582,"Maharashtra","Maharashtra - Pune"
"SANJAY LAXMAN PADWAL","Bhartiya Navjawan Sena (Paksha)",3035,"Maharashtra","Maharashtra - Pune"
"YADAV GANGADHAR NATHU","Independent",1937,"Maharashtra","Maharashtra - Pune"
"KHIRID SIMKUMAR BHAGWAN","Independent",3581,"Maharashtra","Maharashtra - Pune"
"RUPALI TAMBOLI","Independent",3580,"Maharashtra","Maharashtra - Pune"
"SHASHIKANT BHIKAJI OWHAL","Independent",3579,"Maharashtra","Maharashtra - Pune"
"AZAM VAKIL MANIYAR","Independent",3578,"Maharashtra","Maharashtra - Pune"
"AJAY VASANT PAITHANKAR","Independent",3577,"Maharashtra","Maharashtra - Pune"
"VIJAY LAXMAN SARODE","Independent",3576,"Maharashtra","Maharashtra - Pune"
"None of the Above","None of the Above",3586,"Maharashtra","Maharashtra - Pune"
"SUPRIYA SULE","Nationalist Congress Party",3599,"Maharashtra","Maharashtra - Baramati"
"MAHADEV JAGANNATH JANKAR","Rashtriya Samaj Paksha",3597,"Maharashtra","Maharashtra - Baramati"
"SURESH KHOPADE","Aam Aadmi Party",3594,"Maharashtra","Maharashtra - Baramati"
"CHAUDHARI KALURAM VINAYAK","Bahujan Samaj Party",3593,"Maharashtra","Maharashtra - Baramati"
"TATYASAHEB SITARAM TELE","Janata Dal  (Secular)",3601,"Maharashtra","Maharashtra - Baramati"
"RAVINDRA TAKALE","Bahujan Mukti Party",3600,"Maharashtra","Maharashtra - Baramati"
"KOKARE SHIVAJI JAYSING","Independent",3598,"Maharashtra","Maharashtra - Baramati"
"SURESHDADA BABURAO VEER","Independent",3596,"Maharashtra","Maharashtra - Baramati"
"MAHADIK PRALHAD DAGADU","Independent",3595,"Maharashtra","Maharashtra - Baramati"
"None of the Above","None of the Above",3592,"Maharashtra","Maharashtra - Baramati"
"ADHALRAO SHIVAJI DATTATREY","Shivsena",3614,"Maharashtra","Maharashtra - Shirur"
"NIKAM DEVDATTA JAYWANT","Nationalist Congress Party",3612,"Maharashtra","Maharashtra - Shirur"
"ASHOK SHIRPATI KHANDEBHARAD","Maharashtra Navnirman sena",3613,"Maharashtra","Maharashtra - Shirur"
"WAGHMARE SARJERAO BHIKA","Bahujan Samaj Party",3609,"Maharashtra","Maharashtra - Shirur"
"NIKAM SOPANRAO PANDHARINATH","Aam Aadmi Party",3605,"Maharashtra","Maharashtra - Shirur"
"SONALI CHANDRASHEKHAR THORAT","Independent",2696,"Maharashtra","Maharashtra - Shirur"
"MILINDRAJE DIGAMBAR BHOSALE","Independent",3611,"Maharashtra","Maharashtra - Shirur"
"DAMBALE RAM  DHARMA","Independent",3610,"Maharashtra","Maharashtra - Shirur"
"NILESH YASHWANT MHASKULE","Independent",1459,"Maharashtra","Maharashtra - Shirur"
"BAJARE SITARAM NAMDEO (BABA)","Bahujan Mukti Party",3608,"Maharashtra","Maharashtra - Shirur"
"GEETARAM RAMCHANDRA KADAM","Socialist Party (India)",3607,"Maharashtra","Maharashtra - Shirur"
"KATORE MAHADEV NIWRITTI","Independent",3606,"Maharashtra","Maharashtra - Shirur"
"VIKAS SUDAM KUSEKAR","All India Forward Bloc",3603,"Maharashtra","Maharashtra - Shirur"
"UMESH ARJUN KANCHAN","Independent",3602,"Maharashtra","Maharashtra - Shirur"
"None of the Above","None of the Above",3604,"Maharashtra","Maharashtra - Shirur"
"GANDHI DILIPKUMAR MANSUKHLAL","Bharatiya Janata Party",3624,"Maharashtra","Maharashtra - Ahmadnagar"
"RAJEEV APPASAHEB RAJALE","Nationalist Congress Party",3621,"Maharashtra","Maharashtra - Ahmadnagar"
"KOLSEPATIL BABAN GANGADHAR","Independent",3616,"Maharashtra","Maharashtra - Ahmadnagar"
"KAKADE KISAN YASHWANT","Bahujan Samaj Party",3627,"Maharashtra","Maharashtra - Ahmadnagar"
"DEEPALI SAYYED","Aam Aadmi Party",3625,"Maharashtra","Maharashtra - Ahmadnagar"
"H.B.P. AJAY SAHEBRAO BARASKAR MAHARAJ","Bahujan Mukti Party",3623,"Maharashtra","Maharashtra - Ahmadnagar"
"SHRIDHAR JAKHUJI DAREKAR","Independent",3622,"Maharashtra","Maharashtra - Ahmadnagar"
"LAXMAN BHANUDAS SONALE","Independent",3620,"Maharashtra","Maharashtra - Ahmadnagar"
"ANIL JAYSING GHANVAT","Independent",3619,"Maharashtra","Maharashtra - Ahmadnagar"
"PETRAS KISAN GAWARE","Independent",1877,"Maharashtra","Maharashtra - Ahmadnagar"
"DESHMUKH VIKAS NANASAHEB","Independent",3618,"Maharashtra","Maharashtra - Ahmadnagar"
"DAMALE SHIVAJIRAO WAMAN","Bhartiya Navjawan Sena (Paksha)",3617,"Maharashtra","Maharashtra - Ahmadnagar"
"POPAT MANIK FULE","Maharashtra Parivartan Sena (T)",3615,"Maharashtra","Maharashtra - Ahmadnagar"
"None of the Above","None of the Above",3626,"Maharashtra","Maharashtra - Ahmadnagar"
"LOKHANDE SADASHIV KISAN","Shivsena",3638,"Maharashtra","Maharashtra - Shirdi"
"BHAUSAHEB RAJARAM WAKCHAURE","Indian National Congress",3635,"Maharashtra","Maharashtra - Shirdi"
"NITIN NAVNATH UDMALE","Aam Aadmi Party",3629,"Maharashtra","Maharashtra - Shirdi"
"ADV. MAHENDRA DADASAHEB SHINDE","Bahujan Samaj Party",3628,"Maharashtra","Maharashtra - Shirdi"
"SANTOSH MADHUKAR ROHAM","Bahujan Mukti Party",3639,"Maharashtra","Maharashtra - Shirdi"
"SHENDE RAVINDRA VITTHAL","Independent",3637,"Maharashtra","Maharashtra - Shirdi"
"BALASAHEB DASHRATH BAGUL","Independent",3636,"Maharashtra","Maharashtra - Shirdi"
"RAGHUNATH RAMJI MAKASARE","Bharipa Bahujan Mahasangh",3634,"Maharashtra","Maharashtra - Shirdi"
"SAYAJI SHANKAR KHARAT","Independent",3633,"Maharashtra","Maharashtra - Shirdi"
"WAGH GANGADHAR RADHAJI","Independent",3359,"Maharashtra","Maharashtra - Shirdi"
"PAWAR VIJAY BANDERAO","The Lok Party of India",3632,"Maharashtra","Maharashtra - Shirdi"
"GHOLAP SANDEEP BHASKAR","Independent",3631,"Maharashtra","Maharashtra - Shirdi"
"UDDHAVRAO BALWANT GAIKWAD","Independent",3630,"Maharashtra","Maharashtra - Shirdi"
"SARODE POPAT RAMBHAU","Lok Bharati",1933,"Maharashtra","Maharashtra - Shirdi"
"None of the Above","None of the Above",3640,"Maharashtra","Maharashtra - Shirdi"
"MUNDE GOPINATHRAO PANDURANG","Bharatiya Janata Party",3660,"Maharashtra","Maharashtra - Beed"
"DHAS SURESH RAMCHANDRA","Nationalist Congress Party",3656,"Maharashtra","Maharashtra - Beed"
"ROTHOD DIGAMBAR RAMRAO","Bahujan Samaj Party",3642,"Maharashtra","Maharashtra - Beed"
"SOLANKE PRKASH BHAGWANRAO","Independent",3661,"Maharashtra","Maharashtra - Beed"
"ASHOK DHONDIBA SONWANE","Independent",3659,"Maharashtra","Maharashtra - Beed"
"TEJAS ANKUSH GHUMARE","Independent",3658,"Maharashtra","Maharashtra - Beed"
"NADU MADHAV","Aam Aadmi Party",3655,"Maharashtra","Maharashtra - Beed"
"ARJUN HANMANTA NIMBALKAR","Independent",3654,"Maharashtra","Maharashtra - Beed"
"SAYYED NAVIDUJJAMMA","Independent",3161,"Maharashtra","Maharashtra - Beed"
"SAYYED MINHAJ ALI SAYYAD WAJED ALI (PENDKHAJURWALE)","Independent",3653,"Maharashtra","Maharashtra - Beed"
"ASHOK BHAGOJI THORAT","Independent",3652,"Maharashtra","Maharashtra - Beed"
"AGHAV JAYPRAKASH SITARAM","Independent",3651,"Maharashtra","Maharashtra - Beed"
"KALE KRISHNA BHANUDAS","Bharipa Bahujan Mahasangh",3650,"Maharashtra","Maharashtra - Beed"
"INAMDAR JABBERMIYA DAGERASA","Independent",3648,"Maharashtra","Maharashtra - Beed"
"AVINASH NAMDEV WANKHEDE","Independent",2878,"Maharashtra","Maharashtra - Beed"
"BHAGWAT HARIHAR TAWARE","Independent",3647,"Maharashtra","Maharashtra - Beed"
"SADULLA ASDULLA INAMDAR","Independent",1144,"Maharashtra","Maharashtra - Beed"
"DONGARE MILIND KASHINATH","Prabuddha Republican Party",2125,"Maharashtra","Maharashtra - Beed"
"SHAIKH CHAND SHIAKH MIYA","Independent",1631,"Maharashtra","Maharashtra - Beed"
"RAHUL PRABHAKAR KAMBLE","Ambedkarite Party of India",3646,"Maharashtra","Maharashtra - Beed"
"SHAIKH IPTEKHAR ZAKEEBABA","Welfare Party Of India",3645,"Maharashtra","Maharashtra - Beed"
"MANIKRAO MADHAVRAO BAVNE","Samajwadi Party",3644,"Maharashtra","Maharashtra - Beed"
"SAKSAMUDRE BHAGWAN KACHRUBA","Bahujan Mukti Party",3643,"Maharashtra","Maharashtra - Beed"
"JETHLIA SANTOSHBAPU  MITTHULAL","Independent",2938,"Maharashtra","Maharashtra - Beed"
"HOKE (PATIL)RAJEDRA ACHYUTRAO","Independent",1744,"Maharashtra","Maharashtra - Beed"
"TATE ASHOK SANTRAM","Ambedkarist Republican Party",3641,"Maharashtra","Maharashtra - Beed"
"SAYYED MUBIN RAHIMTULLA","Independent",347,"Maharashtra","Maharashtra - Beed"
"DR. OWHAL JITENDRA MAHADEV","Independent",3051,"Maharashtra","Maharashtra - Beed"
"THORAT DHANRAJ VITTHAL","Maharashtra Parivartan Sena (T)",3316,"Maharashtra","Maharashtra - Beed"
"PRASHANT VISHNU SASANE","Independent",518,"Maharashtra","Maharashtra - Beed"
"KALE BAJIRAO SHANKAR","Independent",3521,"Maharashtra","Maharashtra - Beed"
"SHINGARE GOVIND BHARAT","Shivrajya Party",557,"Maharashtra","Maharashtra - Beed"
"SHRIKANT VISHNU GADALE","Independent",440,"Maharashtra","Maharashtra - Beed"
"GANGADHAR SITARAM KALKUTE","Independent",2993,"Maharashtra","Maharashtra - Beed"
"SHAIKH SHAFIQ SHABBIR","Independent",1668,"Maharashtra","Maharashtra - Beed"
"VEER SHESHERAO CHOKHOBA","Independent",1944,"Maharashtra","Maharashtra - Beed"
"SOLANKE PARMESHWAR KALYANRAO","Independent",3657,"Maharashtra","Maharashtra - Beed"
"SAYYED SALIM FATTU","Independent",3218,"Maharashtra","Maharashtra - Beed"
"SUMITRABAI DASHRATH PAWAR","Independent",3649,"Maharashtra","Maharashtra - Beed"
"None of the Above","None of the Above",69,"Maharashtra","Maharashtra - Beed"
"GAIKWAD RAVINDRA VISHWANATH","Shivsena",3676,"Maharashtra","Maharashtra - Osmanabad"
